step temp tot_eng vol density
0 0 -5921.03690335683 54000 0.387790574343965
100 53.6110175599804 -5903.82564984709 52981.1914325814 0.395247642575595
200 110.194259728142 -5741.12745822864 51320.5255516703 0.408037345476727
300 147.809792024948 -5476.73691640779 50113.4667843082 0.417865543102501
400 188.442462843003 -5134.49539131199 49057.4925465856 0.426860198667688
500 215.762766862104 -4747.13679902338 48135.5462154582 0.435035907161873
600 254.748307418821 -4341.25057958306 47352.8855746458 0.442226292240708
700 284.753088901038 -3959.0203773735 46718.6857499703 0.448229454198365
800 305.471644721938 -3651.14724960371 46241.1938056982 0.452857923663589
900 312.044251030821 -3500.3564673662 45800.0400933751 0.457219927578254
1000 299.856411694496 -3499.95599768476 45281.7126002488 0.462453600186028
1100 303.860149817768 -3536.25862648055 44607.6402776158 0.469441801544526
1200 307.064116007045 -3557.64145332483 43971.2926088836 0.476235511219505
1300 307.91965416847 -3611.38257673559 43437.59227739 0.482086826563683
1400 305.533421902665 -3693.8608215872 42879.5473759937 0.488360822257603
1500 292.968696778251 -3751.77406997763 42362.830930127 0.494317555149077
1600 298.598435111768 -3780.4242849193 42003.4818608577 0.49854655106791
1700 293.895927697281 -3768.8334056209 41500.9734393932 0.504583128517583
1800 299.087526366895 -3731.64461360505 41047.1091686571 0.510162382654808
1900 302.934344238376 -3701.43764924712 40633.690820477 0.515352915074631
2000 304.731962287759 -3707.69412817883 40201.6470045431 0.520891370749255
2100 300.565213669471 -3774.74794268921 39688.0510036878 0.527632133223884
2200 298.54641132395 -3867.98961561074 39293.6414051225 0.532928236369669
2300 293.385005425912 -3921.89244007823 38876.1537822059 0.538651306193745
2400 292.547680216067 -3900.16331227716 38355.1571732337 0.545968066823296
2500 302.572046599156 -3866.66385707359 37986.0421834995 0.551273304900146
2600 301.851907314945 -3844.00007208047 37526.2274057344 0.558028143574436
2700 302.929188670413 -3870.84472958675 37056.7992157028 0.565097133529561
2800 297.446027349193 -3956.37649846536 36560.1555911602 0.572773574837776
2900 299.136317017899 -4038.01278686227 36106.6268898503 0.579968078393404
3000 296.560526441711 -4095.16013603015 35650.7751612338 0.587383890528831
3100 299.434741036758 -4133.18670657567 35229.8918652153 0.594401228782941
3200 296.745341640083 -4186.56557051874 34982.2615203145 0.598608840723853
3300 297.367775341964 -4217.1527306033 34797.3724451623 0.601789432451398
3400 287.582447290186 -4248.04544951226 34577.5623818387 0.605615016562674
3500 299.562354017448 -4191.7601266739 34174.6603494131 0.612754912571756
3600 304.846680699356 -4091.64719490536 33735.6154602673 0.620729479183132
3700 299.608119883597 -4045.94921102491 33427.3440736842 0.626453928508779
3800 305.366832353068 -4083.55905300083 33103.657507751 0.632579376151139
3900 301.349701757283 -4178.89644303752 32725.5842241025 0.639887461478877
4000 292.499908537486 -4282.27771214199 32368.9279862292 0.646938045754342
4100 290.834414788175 -4305.70068717687 32016.9377604423 0.654050402048345
4200 291.163453858964 -4258.71710715729 31683.2315062225 0.66093924196026
4300 307.417396402901 -4185.74148642935 31448.129800549 0.66588032889029
4400 302.572208337883 -4167.09202875122 31223.7302143312 0.670665896445731
4500 307.020950999666 -4197.77189280102 30972.1341057065 0.676113920439079
4600 305.003216586788 -4282.73745839035 30697.4433469116 0.682164008836943
4700 286.792766676505 -4362.99082374035 30342.8735166589 0.690135395485111
4800 297.749285708003 -4322.3658157801 29940.3499015853 0.699413703694403
4900 299.767000037495 -4253.65626198231 29621.6235993904 0.706939339240172
5000 304.523369361082 -4230.75809836168 29349.6008590645 0.713491509309799
5100 297.939355426015 -4250.43827373536 29118.5049519513 0.719154058531801
5200 303.978879076116 -4293.08596184388 28813.4440108447 0.726768067249877
5300 297.114310235749 -4334.15638748929 28511.2660743104 0.734470751316176
5400 299.434094345068 -4341.51235440363 28230.5506309341 0.741774090358267
5500 301.770958136449 -4350.60474823986 27888.9534184594 0.75085969345532
5600 308.114379529027 -4380.53259977092 27564.4982881395 0.759697883693552
5700 303.941822927569 -4418.9106309705 27310.4114030552 0.766765857369381
5800 297.980913236728 -4463.93902776777 27066.9294002512 0.773663340414957
5900 301.293608866567 -4482.02324764018 26769.9838648448 0.782245186261547
6000 300.390075790744 -4514.67542130592 26508.8049160039 0.789952284945588
6100 290.816836741069 -4559.16915753866 26340.7263097387 0.794992923442355
6200 300.007644455269 -4550.87091623763 26220.4923659271 0.798638359735229
6300 293.986477718234 -4480.01246525192 26110.4982698943 0.802002734613417
6400 305.082422025235 -4402.47829530675 25982.9805778738 0.805938754863502
6500 305.411384980774 -4372.36730093967 25776.4895163858 0.812394992780626
6600 300.959196617625 -4384.2156274247 25578.2635275788 0.818690877588136
6700 295.135471400924 -4466.82701536133 25492.8905050301 0.821432587663695
6800 291.377097829902 -4528.08256315599 25407.3092338732 0.824199478260996
6900 295.726286499925 -4510.67974598547 25258.5449641141 0.829053733868101
7000 300.881054979825 -4449.49949656082 25119.5807413153 0.83364014830598
7100 314.076255703414 -4421.0456485483 24962.8540736208 0.838874070761924
7200 300.743925376661 -4517.98679774271 24801.0261842798 0.844347764442403
7300 296.480017002746 -4611.77586610383 24628.2828176194 0.850270039923077
7400 287.349736673472 -4643.57582061724 24429.8280245589 0.857177176749784
7500 297.701953581293 -4584.65736624168 24221.8597029337 0.864536879967059
7600 312.18654278307 -4527.27979856153 24030.2167866198 0.871431631288239
7700 301.284186740436 -4556.24080975452 23900.9119572041 0.876146109071888
7800 287.801462101946 -4584.59852517109 23720.0299654408 0.882827342338264
7900 303.995775663862 -4590.93206992063 23523.2425359708 0.890212774984252
8000 308.606545528505 -4627.75635036201 23352.3488345467 0.896727398299015
8100 299.830091737767 -4685.18779330569 23208.5539336598 0.902283316506138
8200 288.288293457187 -4707.68302362252 23060.9674447843 0.90805778485717
8300 303.28735943127 -4682.22800167157 22868.6150777482 0.915695635410382
8400 301.358185418054 -4616.32285354607 22725.5250765476 0.921461261908734
8500 314.859735648655 -4567.05818780788 22662.2320249349 0.924034799023036
8600 301.425543735741 -4647.12728723253 22646.7329281405 0.924667195088149
8700 295.352216071771 -4683.09554684932 22619.3230226164 0.925787699023359
8800 304.979662950283 -4693.16477400607 22610.109284792 0.926164962354215
8900 296.258115048246 -4728.01443503865 22572.0492001257 0.92772662459275
9000 296.529224277203 -4748.90732349041 22489.2780174026 0.931141097476312
9100 296.507247492231 -4703.62937658302 22346.672927037 0.937083165934655
9200 308.681974094235 -4641.18744693019 22267.5881012355 0.940411279361335
9300 308.655661691173 -4667.82579787169 22226.8244024976 0.942135981072537
9400 292.828304693845 -4714.21987620935 22213.1038258641 0.94271791905963
9500 304.033138594373 -4720.53367834117 22228.0108737543 0.942085692395436
9600 296.293777133548 -4743.05748637493 22214.4729524166 0.942659817292496
9700 290.444748590094 -4771.68142312347 22195.1930804618 0.943478659485416
9800 294.187761607416 -4731.87370498026 22118.0882989127 0.946767674112394
9900 305.114911013069 -4652.78904350356 22055.7679992835 0.949442840315258
10000 298.858870223285 -4710.73871959544 22153.3889900762 0.945259031200808
10100 302.390637175275 -4749.87998461761 22298.694811023 0.939099404339237
10200 294.220645166032 -4749.20750351462 22421.4750817322 0.933956884559993
10300 304.970548395601 -4686.15922353375 22460.9850512818 0.932314008791838
10400 306.909082467151 -4641.72145046175 22513.8594190138 0.930124445784223
