step temp tot_eng vol density press nO
0 301.605051557091 28.0692143715079 12895.8536143466 1.86378529283311 2341.00511379522 3
100 304.669198119317 28.1093740073597 12895.8536143466 1.87538408798564 2271.16799527571 8
200 304.263000911746 27.8432838632512 12895.8536143466 1.87538408798564 2322.71185284783 8
300 302.149091055779 27.3896788164042 12895.8536143466 1.88002360604665 2189.01427162079 10
400 306.137899622739 27.271032377377 12895.8536143466 1.88002360604665 2303.38284328716 10
500 304.809126478551 26.9478841369894 12895.8536143466 1.88466312410766 2310.97794771922 12
600 308.285189212804 26.7041194165508 12895.8536143466 1.88698288313817 2272.71898666086 13
700 305.687441550561 26.2634481086673 12895.8536143466 1.89162240119918 2390.45490017566 15
800 305.25269920011 25.7754204088483 12895.8536143466 1.89394216022968 2132.69006039959 16
900 302.961026754376 25.3844240186427 12895.8536143466 1.89394216022968 2227.31427405661 16
1000 306.423731934997 24.8136639293492 12895.8536143466 1.8985816782907 2222.58689256119 18
1100 304.982168096932 24.3937212992625 12895.8536143466 1.90322119635171 2155.24713329734 20
1200 303.979655736216 24.2005909505083 12895.8536143466 1.90322119635171 2121.47630580409 20
1300 309.852957863192 23.7246903369627 12895.8536143466 1.91250023247373 2149.24722178429 24
1400 308.333732144566 22.9816403936969 12895.8536143466 1.91250023247373 2147.80489376525 24
1500 304.154321198419 22.1760384517981 12895.8536143466 1.91481999150424 2058.75636542159 25
1600 305.927975286333 21.5011373298044 12895.8536143466 1.91481999150424 2119.68805155552 25
1700 302.788423199419 21.2495683554908 12895.8536143466 1.91481999150424 1929.55086163051 25
1800 305.938475913139 21.0663982976758 12895.8536143466 1.91945950956525 2050.9280551976 27
1900 307.151463909932 20.2376788771548 12895.8536143466 1.92873854568727 2112.14284903997 31
2000 304.623229141802 19.482055632046 12895.8536143466 1.92873854568727 2141.32990219725 31
2100 303.261596043388 18.3116232091841 12895.8536143466 1.93337806374829 2119.57996021586 33
2200 303.841944284196 17.5624943602738 12895.8536143466 1.93337806374829 2190.7201679515 33
2300 306.805357110659 17.0516857714738 12895.8536143466 1.93337806374829 1952.05685429694 33
2400 305.388355887794 16.744358495138 12895.8536143466 1.9380175818093 1849.68305852635 35
2500 305.797886681142 16.3308489223956 12895.8536143466 1.9403373408398 2387.89806075271 36
2600 304.314527825322 15.7367981041625 12895.8536143466 1.9403373408398 2113.93214701708 36
2700 303.528586638386 15.5450601865343 12895.8536143466 1.94265709987031 1917.94382198396 37
2800 300.646536561764 15.3703129659253 12895.8536143466 1.94265709987031 2244.38625728758 37
2900 299.700557672195 15.1717701529823 12895.8536143466 1.94265709987031 2152.69214192911 37
3000 297.729097709808 14.5258583372617 12895.8536143466 1.94265709987031 2164.31898737049 37
3100 299.32743486149 14.3387478359866 12895.8536143466 1.94265709987031 1923.5421214417 37
3200 303.831177980525 14.8099976965287 12895.8536143466 1.94265709987031 2165.68358901636 37
3300 303.335057776499 15.1167602809875 12895.8536143466 1.94265709987031 1834.00338390266 37
3400 307.238757745771 15.0819905883964 12895.8536143466 1.94497685890082 1969.33701327043 38
3500 305.437006301088 14.5208574205342 12895.8536143466 1.94729661793132 1799.59074633364 39
3600 301.228812891827 14.1067875785401 12895.8536143466 1.94729661793132 2287.4334576221 39
3700 296.914138155315 13.4561838295893 12895.8536143466 1.94729661793132 1924.0183860083 39
3800 300.93963588463 13.3071556228491 12895.8536143466 1.94961637696183 2069.0445790482 40
3900 302.776438053312 13.6383595520317 12895.8536143466 1.94961637696183 2357.54022895019 40
4000 303.404861123162 13.6770162655327 12895.8536143466 1.95193613599233 1884.9763569065 41
4100 305.324241917453 13.4139569467057 12895.8536143466 1.95425589502284 2253.52790339711 42
4200 301.94164370239 12.993641012859 12895.8536143466 1.95657565405335 1913.61909647669 43
4300 298.843488690805 12.4016060900065 12895.8536143466 1.95889541308385 1882.6667338716 44
4400 303.901663072587 12.1841620897839 12895.8536143466 1.95889541308385 1928.11796788475 44
4500 305.207657133133 12.0221033100854 12895.8536143466 1.95889541308385 2004.59292504736 44
4600 302.323281342347 11.6823998016954 12895.8536143466 1.95889541308385 2564.68460492104 44
4700 298.848793708095 11.4638228395323 12895.8536143466 1.95889541308385 2095.22344438724 44
4800 301.320268082809 11.7372073775909 12895.8536143466 1.95889541308385 2225.16995008064 44
4900 305.824002945708 12.3453649244262 12895.8536143466 1.95889541308385 2174.18191617839 44
5000 303.333975988659 12.4008097326769 12895.8536143466 1.95889541308385 2248.33064408009 44
5100 306.138001327661 12.1015652737618 12895.8536143466 1.96121517211436 2143.15751658614 45
5200 299.194758468491 11.1847149275747 12895.8536143466 1.96121517211436 1944.93405877118 45
5300 299.693922511454 11.25167755316 12895.8536143466 1.96121517211436 2061.97069651741 45
5400 306.344750398284 11.8372765298473 12895.8536143466 1.96121517211436 1826.50429974233 45
5500 309.142050424248 12.1090257243307 12895.8536143466 1.96353493114486 2235.40791158355 46
5600 303.000231118326 11.4821251690631 12895.8536143466 1.96585469017537 2120.37686647308 47
5700 303.60994710672 10.9419313497916 12895.8536143466 1.96585469017537 2163.66217738966 47
5800 302.286744141457 10.7744430034275 12895.8536143466 1.96585469017537 2163.09906649991 47
5900 302.991694221404 11.1009048805366 12895.8536143466 1.96585469017537 2633.57701636785 47
6000 306.516633853781 11.444211990308 12895.8536143466 1.96585469017537 2182.31333107892 47
6100 306.290911762661 11.3118690299965 12895.8536143466 1.96585469017537 2150.10031165047 47
6200 306.052612894122 10.618760892558 12895.8536143466 1.96585469017537 1941.69025350614 47
6300 301.488764682156 10.1312268678903 12895.8536143466 1.96585469017537 2199.93808429292 47
6400 299.318785259991 10.2411422547825 12895.8536143466 1.96585469017537 1768.30595664514 47
6500 305.910873729605 10.8076237052174 12895.8536143466 1.96817444920588 2089.10573158524 48
6600 304.950337434394 10.7715160377581 12895.8536143466 1.96817444920588 2120.39340739577 48
6700 304.807869906099 10.6294978176991 12895.8536143466 1.96817444920588 1866.81491848377 48
6800 304.499926899336 10.1577651523778 12895.8536143466 1.96817444920588 2488.30184618606 48
6900 300.379102545749 9.62211868683901 12895.8536143466 1.96817444920588 2169.62843004934 48
7000 302.609640115424 9.86619397464628 12895.8536143466 1.97049420823638 2006.60666640925 49
7100 303.442174739739 10.0278764834309 12895.8536143466 1.97049420823638 2527.97015240921 49
7200 302.754075688063 9.85012889548885 12895.8536143466 1.97049420823638 2248.65863195574 49
7300 300.701017937904 9.52860755208335 12895.8536143466 1.97049420823638 2152.47918877471 49
7400 297.611955909018 9.24152300981533 12895.8536143466 1.97049420823638 2357.36357244553 49
7500 301.171630204675 9.60269969482085 12895.8536143466 1.97049420823638 2003.34555804621 49
7600 304.182341704665 10.0999731624217 12895.8536143466 1.97281396726689 2318.50509216909 50
7700 302.174061469912 10.0988255281508 12895.8536143466 1.97281396726689 2432.90817608916 50
7800 301.566075637159 10.022215275491 12895.8536143466 1.97281396726689 2075.62741068098 50
7900 305.953829782174 10.1531667408664 12895.8536143466 1.97281396726689 2220.96579866283 50
8000 302.477834286486 9.65105799003251 12895.8536143466 1.97281396726689 2134.96209894064 50
8100 300.683264377755 9.23306781250195 12895.8536143466 1.97281396726689 1868.97375379134 50
8200 304.033258640315 9.30529521773661 12895.8536143466 1.97281396726689 1813.29960947312 50
8300 300.008097532303 9.41211144481042 12895.8536143466 1.97281396726689 2163.48856320353 50
8400 306.907638615747 10.2493692652 12895.8536143466 1.97281396726689 2064.19596966766 50
8500 308.440043719173 9.71835149351136 12895.8536143466 1.97281396726689 2295.71915044396 50
8600 303.853845612122 9.16023494781663 12895.8536143466 1.97281396726689 2171.92778213375 50
8700 303.233309467162 8.68896321065947 12895.8536143466 1.97281396726689 2082.62260336926 50
8800 302.520832295919 8.40439183673367 12895.8536143466 1.97281396726689 2271.77867662977 50
8900 303.261273995309 8.45417763103919 12895.8536143466 1.97281396726689 2202.9048212081 50
9000 301.553991607314 9.23006149844934 12895.8536143466 1.97281396726689 1938.98878390523 50
9100 308.1829163581 9.78846896305875 12895.8536143466 1.97281396726689 2536.82375277451 50
9200 308.684112341391 9.08243220773094 12895.8536143466 1.97281396726689 2317.98486986611 50
9300 300.600032100933 8.50563142066393 12895.8536143466 1.97281396726689 2033.64180984666 50
9400 304.147096454942 8.49850628206558 12895.8536143466 1.97281396726689 1841.32507843938 50
9500 303.867448224913 8.72342356240134 12895.8536143466 1.97281396726689 2271.40839652238 50
9600 304.556880075439 9.16436659928571 12895.8536143466 1.97281396726689 2254.86503838713 50
9700 305.011345467008 9.43889663803625 12895.8536143466 1.97281396726689 1936.15945364478 50
9800 303.814867301745 8.70061122435596 12895.8536143466 1.97281396726689 2457.72098235832 50
9900 297.478020732911 8.18024362905158 12895.8536143466 1.97281396726689 2231.88121916777 50
10000 302.798331438909 8.62241158710282 12895.8536143466 1.97281396726689 2382.43942381966 50
10100 309.067745688614 8.82524471938225 12895.8536143466 1.97281396726689 2352.9576274319 50
10200 304.226288646871 8.44557966964234 12895.8536143466 1.97281396726689 2059.13075704299 50
10300 301.61543320579 8.47264964600349 12895.8536143466 1.97281396726689 2149.8204647686 50
10400 307.387704085835 9.46819320447849 12895.8536143466 1.97281396726689 2008.31695778975 50
10500 304.879068165713 9.47155464375423 12895.8536143466 1.97281396726689 1881.69023300128 50
10600 300.659983359747 9.06564776367178 12895.8536143466 1.97281396726689 2356.86606470231 50
10700 303.310819474659 8.63747313425021 12895.8536143466 1.97281396726689 2402.63534292678 50
10800 301.824475365282 8.26644879484977 12895.8536143466 1.97513372629739 2175.76136186219 51
10900 297.096388067896 7.36564054542898 12895.8536143466 1.97513372629739 1862.52040715095 51
11000 305.055122549242 7.32375425165822 12895.8536143466 1.97513372629739 2021.91805143848 51
11100 300.248043981339 7.48314270050574 12895.8536143466 1.97513372629739 2064.0396177152 51
11200 301.758551977629 7.95736075476025 12895.8536143466 1.97513372629739 1892.16901983482 51
11300 308.78194756516 8.28608147975618 12895.8536143466 1.97977324435841 2335.50146806528 53
11400 303.828108367752 8.0615963266031 12895.8536143466 1.97977324435841 2082.4680224282 53
11500 302.979936033769 7.81664385744691 12895.8536143466 1.97977324435841 2150.46770080985 53
11600 302.997894081337 7.77523322174201 12895.8536143466 1.97977324435841 2153.56590176045 53
11700 303.214492592064 7.52393376035975 12895.8536143466 1.97977324435841 2411.25363630898 53
11800 301.608739227417 7.03487736574458 12895.8536143466 1.97977324435841 2268.10429597998 53
11900 298.156975990048 6.70506731605273 12895.8536143466 1.97977324435841 2234.49947164935 53
12000 305.28744832913 7.10919162652338 12895.8536143466 1.97977324435841 2031.73962590997 53
12100 306.403666699926 7.83348467795497 12895.8536143466 1.97977324435841 2240.77907892705 53
12200 305.838690370548 7.74930398738316 12895.8536143466 1.97977324435841 2413.93766001748 53
12300 300.067067999204 7.3070827387188 12895.8536143466 1.97977324435841 2056.93562513696 53
12400 302.128799027397 7.26676357050528 12895.8536143466 1.97977324435841 2381.39154006792 53
